Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,6.00000,6.93000,5.35000,6.60000,6.60000,66849000
2018-09-13,6.62000,12.69000,6.52000,11.60000,11.60000,158346500
2018-09-14,12.66000,13.80000,9.22000,9.90000,9.90000,172473600
2018-09-17,9.61000,9.75000,8.50000,8.50000,8.50000,56323900
2018-09-18,8.73000,9.10000,7.67000,7.68000,7.68000,41827600
2018-09-19,7.88000,9.15000,7.54000,8.50000,8.50000,48306500
2018-09-20,9.07000,9.47000,8.42000,8.78000,8.78000,40275000
2018-09-21,9.05000,9.07000,8.50000,8.59000,8.59000,15118500
2018-09-24,8.32000,8.39000,7.85000,7.87000,7.87000,16297900
2018-09-25,8.06000,8.19000,7.50000,7.58000,7.58000,18909300
2018-09-26,7.59000,7.76000,7.50000,7.50000,7.50000,11088300
2018-09-27,7.55000,7.55000,7.01000,7.01000,7.01000,16815600
2018-09-28,6.97000,7.28000,6.68000,6.98000,6.98000,21813600
2018-10-01,7.06000,7.08000,6.60000,6.60000,6.60000,16429100
2018-10-02,6.60000,6.60000,5.87000,5.93000,5.93000,19440000
2018-10-03,6.12000,6.55000,6.12000,6.30000,6.30000,13251200
2018-10-04,6.19000,6.25000,6.00000,6.25000,6.25000,11896600
2018-10-05,6.20000,6.29000,6.03000,6.26000,6.26000,8378300
2018-10-08,6.07000,6.18000,5.95000,6.04000,6.04000,11508800
2018-10-09,6.19000,7.40000,6.10000,7.39000,7.39000,38464400
2018-10-10,8.10000,8.35000,7.39000,7.75000,7.75000,74971100
2018-10-11,7.44000,7.55000,6.92000,7.18000,7.18000,22730000
2018-10-12,7.46000,7.75000,7.28000,7.46000,7.46000,14545400
2018-10-15,7.86000,8.30000,7.70000,7.82000,7.82000,26781700
2018-10-16,8.06000,8.20000,7.83000,8.04000,8.04000,17490500
2018-10-17,8.12000,8.16000,7.73000,7.77000,7.77000,11705300
2018-10-18,7.60000,7.67000,7.26000,7.50000,7.50000,11906000
2018-10-19,7.59000,7.75000,7.22000,7.32000,7.32000,7336200
2018-10-22,7.68000,7.69000,7.00000,7.03000,7.03000,12758500
2018-10-23,6.74000,6.89000,6.45000,6.81000,6.81000,14901700
2018-10-24,6.85000,6.85000,6.13000,6.17000,6.17000,14789900
2018-10-25,6.27000,6.57000,6.25000,6.45000,6.45000,9188700
2018-10-26,6.21000,6.51000,6.18000,6.35000,6.35000,9459000
2018-10-29,6.53000,6.79000,6.05000,6.19000,6.19000,16027600
2018-10-30,6.20000,6.22000,5.62000,5.95000,5.95000,21823900
2018-10-31,6.08000,6.25000,5.90000,5.90000,5.90000,15213400
2018-11-01,6.00000,6.78000,5.96000,6.62000,6.62000,24330900
2018-11-02,6.84000,6.84000,6.27000,6.49000,6.49000,17988800
2018-11-05,6.52000,6.72000,6.25000,6.68000,6.68000,13188700
2018-11-06,7.22000,7.32000,6.40000,6.40000,6.40000,49855800
2018-11-07,6.42000,6.88000,6.15000,6.74000,6.74000,23761800
2018-11-08,6.49000,7.10000,6.47000,6.69000,6.69000,20510700
2018-11-09,6.59000,6.93000,6.52000,6.77000,6.77000,12789800
2018-11-12,6.72000,6.93000,6.56000,6.65000,6.65000,12709100
2018-11-13,6.69000,6.90000,6.58000,6.78000,6.78000,15374100
2018-11-14,6.80000,7.45000,6.80000,7.10000,7.10000,29585100
2018-11-15,7.15000,7.49000,7.11000,7.34000,7.34000,17904000
2018-11-16,7.40000,7.65000,7.16000,7.19000,7.19000,14972500
2018-11-19,7.38000,8.21000,7.28000,7.84000,7.84000,49171800
2018-11-20,7.65000,7.91000,7.15000,7.67000,7.67000,26923200
2018-11-21,7.90000,8.05000,7.63000,7.71000,7.71000,13993600
2018-11-23,7.68000,7.70000,7.41000,7.46000,7.46000,8119700
2018-11-26,7.61000,7.63000,7.16000,7.37000,7.37000,12164900
2018-11-27,7.30000,7.70000,7.23000,7.48000,7.48000,9084900
2018-11-28,7.60000,8.15000,7.60000,8.12000,8.12000,22096900
2018-11-29,8.06000,8.12000,7.76000,7.79000,7.79000,13207600
2018-11-30,7.80000,8.00000,7.68000,7.71000,7.71000,10994700
2018-12-03,8.10000,8.13000,7.50000,7.58000,7.58000,22425400
2018-12-04,7.60000,7.64000,7.05000,7.08000,7.08000,19624700
2018-12-06,6.86000,7.37000,6.72000,7.37000,7.37000,16688100
2018-12-07,7.36000,7.38000,6.96000,6.99000,6.99000,11576200
2018-12-10,7.03000,7.12000,6.74000,7.03000,7.03000,9981000
2018-12-11,7.08000,7.20000,6.92000,7.08000,7.08000,8095700
2018-12-12,7.20000,7.55000,7.12000,7.54000,7.54000,16007500
2018-12-13,7.55000,7.90000,7.26000,7.75000,7.75000,14980900
2018-12-14,7.53000,7.89000,7.40000,7.70000,7.70000,10773600
2018-12-17,7.63000,7.64000,6.96000,7.03000,7.03000,18132800
2018-12-18,7.03000,7.19000,6.84000,7.07000,7.07000,10685800
2018-12-19,7.01000,7.15000,6.80000,6.83000,6.83000,9299700
2018-12-20,6.82000,6.92000,6.33000,6.52000,6.52000,12080000
2018-12-21,6.53000,6.65000,6.06000,6.07000,6.07000,13598300
2018-12-24,6.00000,6.12000,5.84000,5.92000,5.92000,8835800
2018-12-26,6.11000,6.37000,5.96000,6.36000,6.36000,9912300
2018-12-27,6.17000,6.45000,6.03000,6.43000,6.43000,8531900
2018-12-28,6.50000,6.56000,6.30000,6.47000,6.47000,7996500
2018-12-31,6.56000,6.57000,6.21000,6.37000,6.37000,8667400
2019-01-02,6.13000,6.24000,6.00000,6.20000,6.20000,8823600
2019-01-03,6.10000,6.15000,6.02000,6.05000,6.05000,7562900
2019-01-04,6.19000,6.40000,6.13000,6.36000,6.36000,9405600
2019-01-07,6.41000,6.59000,6.31000,6.50000,6.50000,9709000
2019-01-08,6.57000,6.58000,6.17000,6.40000,6.40000,9603800
2019-01-09,6.41000,6.69000,6.35000,6.63000,6.63000,11489900
2019-01-10,6.63000,6.73000,6.41000,6.66000,6.66000,11221100
2019-01-11,6.50000,6.62000,6.48000,6.59000,6.59000,6902300
2019-01-14,6.51000,7.15000,6.37000,6.80000,6.80000,19454100
2019-01-15,6.85000,7.07000,6.75000,6.82000,6.82000,12633000
2019-01-16,6.80000,6.90000,6.68000,6.71000,6.71000,6941200
2019-01-17,6.70000,6.88000,6.53000,6.81000,6.81000,8508900
2019-01-18,6.89000,6.91000,6.68000,6.71000,6.71000,9240900
2019-01-22,6.63000,6.67000,6.51000,6.57000,6.57000,6379600
2019-01-23,6.63000,6.79000,6.47000,6.55000,6.55000,5686000
2019-01-24,6.47000,6.75000,6.47000,6.58000,6.58000,5920000
2019-01-25,6.65000,6.78000,6.60000,6.65000,6.65000,6723600
2019-01-28,6.56000,6.68000,6.48000,6.67000,6.67000,5111000
2019-01-29,6.68000,6.97000,6.64000,6.94000,6.94000,14200100
2019-01-30,6.94000,7.55000,6.92000,7.46000,7.46000,28775000
2019-01-31,7.40000,7.89000,7.40000,7.88000,7.88000,21233900
2019-02-01,7.85000,8.11000,7.68000,7.90000,7.90000,20788800
2019-02-04,7.96000,7.98000,7.74000,7.85000,7.85000,8585300
2019-02-05,7.71000,7.96000,7.61000,7.88000,7.88000,9029900
2019-02-06,7.95000,8.59000,7.83000,8.40000,8.40000,33404700
2019-02-07,8.28000,8.37000,7.80000,8.04000,8.04000,23198200
2019-02-08,8.00000,8.00000,7.28000,7.67000,7.67000,21709300
2019-02-11,7.67000,7.77000,7.38000,7.46000,7.46000,9750700
2019-02-12,7.35000,7.57000,7.14000,7.44000,7.44000,13264100
2019-02-13,7.52000,7.68000,7.39000,7.49000,7.49000,10867800
2019-02-14,7.70000,7.78000,7.42000,7.48000,7.48000,14728300
2019-02-15,7.55000,7.64000,7.26000,7.41000,7.41000,15620200
2019-02-19,7.40000,7.43000,7.21000,7.26000,7.26000,9974700
2019-02-20,7.26000,7.77000,7.26000,7.62000,7.62000,21495700
2019-02-21,7.70000,7.73000,7.43000,7.64000,7.64000,8060100
2019-02-22,7.92000,8.22000,7.75000,8.17000,8.17000,26600400
2019-02-25,9.04000,9.09000,8.60000,9.00000,9.00000,52424200
2019-02-26,9.16000,10.64000,8.82000,9.79000,9.79000,106022600
2019-02-27,10.15000,10.25000,9.33000,9.85000,9.85000,53234300
2019-02-28,9.85000,9.93000,9.46000,9.57000,9.57000,26506000
2019-03-01,9.82000,10.20000,9.73000,10.06000,10.06000,32409400
2019-03-04,10.32000,10.37000,9.15000,9.78000,9.78000,43753300
2019-03-05,9.80000,10.63000,9.70000,10.16000,10.16000,53680800
2019-03-06,8.26000,8.72000,8.00000,8.01000,8.01000,73522700
2019-03-07,7.81000,7.95000,7.00000,7.09000,7.09000,52469600
2019-03-08,7.02000,7.20000,6.85000,7.06000,7.06000,32040600
2019-03-11,6.95000,6.98000,6.55000,6.59000,6.59000,62544500
2019-03-12,6.62000,6.64000,6.37000,6.39000,6.39000,41616000
2019-03-13,6.32000,6.77000,6.24000,6.53000,6.53000,41727200
