Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,67.53800,68.57800,67.03200,68.20200,68.20200,49817000
2017-06-01,68.80000,68.97600,67.45800,68.07400,68.07400,38040000
2017-06-02,67.95400,68.57600,67.18600,67.97000,67.97000,27951000
2017-06-05,67.70000,69.68800,66.84200,69.46400,69.46400,33922000
2017-06-06,68.94000,71.89800,67.99400,70.57000,70.57000,55434000
2017-06-07,71.26800,72.10000,71.02800,71.93000,71.93000,46990000
2017-06-08,72.75000,74.38000,72.04400,74.00000,74.00000,45307500
2017-06-09,74.88400,75.37400,70.96000,71.46400,71.46400,86307000
2017-06-12,71.59800,72.90000,70.12400,71.80200,71.80200,52588500
2017-06-13,73.52400,75.20000,73.32200,75.19000,75.19000,59039500
2017-06-14,76.21800,76.85000,75.26200,76.13200,76.13200,64092000
2017-06-15,74.50000,75.09200,73.29800,75.06800,75.06800,52132500
2017-06-16,75.59600,75.60200,74.02000,74.28000,74.28000,33655000
2017-06-19,75.00000,75.34000,73.56000,73.96000,73.96000,32746500
2017-06-20,75.33400,75.77600,73.94600,74.44800,74.44800,37193500
2017-06-21,74.87000,75.39800,73.60400,75.28000,75.28000,24616000
2017-06-22,75.59800,77.00000,74.71400,76.52200,76.52200,37649000
2017-06-23,76.49000,77.39800,75.87000,76.69000,76.69000,32229000
2017-06-26,77.33800,77.39000,74.62000,75.49800,75.49800,33020500
2017-06-27,75.28000,75.28000,72.40400,72.47400,72.47400,34982000
2017-06-28,73.33600,74.34800,72.50400,74.24800,74.24800,31512500
2017-06-29,74.12200,74.20000,70.82000,72.15000,72.15000,41105000
2017-06-30,72.74200,73.35400,71.92400,72.32200,72.32200,29242500
2017-07-03,74.04800,74.27000,70.30000,70.52400,70.52400,31527000
2017-07-05,69.44000,69.44800,65.26600,65.41800,65.41800,85233500
2017-07-06,63.45200,64.15800,61.26000,61.76600,61.76600,96622500
2017-07-07,62.70000,63.40000,61.47600,62.64400,62.64400,70884500
2017-07-10,62.58000,63.58800,60.62600,63.21000,63.21000,69104500
2017-07-11,63.20000,65.45600,62.86000,65.44400,65.44400,57797000
2017-07-12,66.08000,66.62000,64.90000,65.90400,65.90400,51730500
2017-07-13,66.02200,66.32000,63.99400,64.68200,64.68200,42972500
2017-07-14,64.63800,65.68400,64.24400,65.55600,65.55600,28126000
2017-07-17,65.10800,65.42000,62.69000,63.91400,63.91400,49384500
2017-07-18,63.50000,65.82600,63.13200,65.64800,65.64800,31868500
2017-07-19,65.64600,66.33000,64.64400,65.05200,65.05200,31785000
2017-07-20,65.38000,66.04400,64.84000,65.98400,65.98400,25831000
2017-07-21,65.89200,66.25200,65.16000,65.68000,65.68000,24508000
2017-07-24,66.04800,68.68000,66.00200,68.50400,68.50400,43185500
2017-07-25,69.00000,69.12000,66.83000,67.92000,67.92000,34946000
2017-07-26,68.07200,69.10000,67.62400,68.77000,68.77000,24104000
2017-07-27,69.20000,69.50000,65.25800,66.89200,66.89200,41512000
2017-07-28,67.37800,67.92000,66.50200,67.01400,67.01400,24402000
2017-07-31,67.10000,68.29800,64.20800,64.69400,64.69400,42675500
2017-08-01,64.60000,64.89000,63.22600,63.91400,63.91400,41515500
2017-08-02,63.78800,65.42400,62.24400,65.17800,65.17800,65457500
2017-08-03,69.06600,70.00000,68.63000,69.41800,69.41800,67675000
2017-08-04,69.40000,71.45400,68.66000,71.38200,71.38200,46344500
2017-08-07,71.47000,71.89600,70.55000,71.03400,71.03400,31622500
2017-08-08,71.50600,73.71600,71.48000,73.04400,73.04400,37249000
2017-08-09,72.20000,74.00000,71.79000,72.70600,72.70600,34460500
2017-08-10,72.32000,73.33000,70.93200,71.08000,71.08000,35464500
2017-08-11,71.39400,72.25200,70.72400,71.57400,71.57400,21829000
2017-08-14,72.92600,73.53200,72.52000,72.76000,72.76000,22596000
2017-08-15,73.04000,73.09800,71.87400,72.46600,72.46600,15425500
2017-08-16,72.60000,73.30000,72.50400,72.58200,72.58200,17069000
2017-08-17,72.24200,72.66000,70.31800,70.38400,70.38400,25138500
2017-08-18,70.58200,70.80000,69.16000,69.49200,69.49200,27041000
2017-08-21,69.16400,69.16400,66.37000,67.57200,67.57200,32477000
2017-08-22,68.22600,68.44800,67.47400,68.27000,68.27000,21610000
2017-08-23,67.79800,70.69800,67.66000,70.55400,70.55400,24772500
2017-08-24,70.50400,71.33200,69.94800,70.58600,70.58600,22923500
2017-08-25,70.84800,71.13800,69.46000,69.61000,69.61000,17420000
2017-08-28,69.45600,69.47000,67.94400,69.13200,69.13200,18820000
2017-08-29,67.89600,69.81000,67.75000,69.47200,69.47200,20368500
2017-08-30,69.93400,70.69400,69.40000,70.63600,70.63600,17064500
2017-08-31,70.71000,71.68800,70.56400,71.18000,71.18000,20364000
2017-09-01,71.22400,71.51800,70.73800,71.08000,71.08000,15247500
