Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,146.69000,147.00000,142.05000,144.35001,142.87764,22182900
2017-06-01,144.99001,145.03000,142.52000,144.36000,142.88748,12583500
2017-06-02,144.24001,145.30000,143.39999,143.64000,142.17484,12186400
2017-06-05,142.98000,148.53000,142.50999,148.00999,146.50027,20434400
2017-06-06,147.82001,149.69000,146.80000,147.34000,145.83707,18968200
2017-06-07,148.33000,149.88000,147.70000,149.12000,147.59894,15315300
2017-06-08,153.46001,160.00000,151.78999,159.94000,158.30858,29043600
2017-06-09,164.74001,168.50000,142.75000,149.60001,148.07404,92323200
2017-06-12,145.88000,151.70000,142.11000,149.97000,148.44026,42438300
2017-06-13,154.39999,154.77000,145.64999,151.39999,149.85568,41812600
2017-06-14,151.52000,154.06000,148.50000,151.72000,150.17242,29616000
2017-06-15,146.96001,153.60001,146.50000,152.37000,150.81577,24095600
2017-06-16,152.75999,154.70000,150.24001,151.62000,150.07339,23124000
2017-06-19,153.41000,157.53000,153.25999,157.32001,155.71530,19454400
2017-06-20,159.03000,161.74001,156.92000,157.09000,155.48764,27386100
2017-06-21,158.21001,159.62000,155.70000,159.47000,157.84338,17066300
2017-06-22,159.80000,160.34000,157.39999,158.37000,156.75458,11728300
2017-06-23,158.67999,159.32001,153.22000,153.83000,152.26088,27214700
2017-06-26,155.16000,156.60001,148.33000,152.14999,150.59802,26599000
2017-06-27,151.44000,151.78999,146.35001,146.58000,145.08485,24987300
2017-06-28,149.32001,151.94000,145.75000,151.75000,150.20207,24873700
2017-06-29,150.60001,150.72000,144.08000,146.67999,145.18384,26610600
2017-06-30,147.38000,147.92999,143.50000,144.56000,143.08543,18276500
2017-07-03,145.05000,145.64999,138.58000,139.33000,137.90878,17726800
2017-07-05,141.89999,144.22000,141.13000,143.05000,141.59087,20504700
2017-07-06,141.87000,145.38000,139.75999,143.48000,142.01642,18657100
2017-07-07,145.78000,147.50000,144.85001,146.75999,145.26299,16374300
2017-07-10,149.74001,154.00000,148.67999,153.70000,152.13222,23962300
2017-07-11,153.85001,156.19000,152.14999,155.88000,154.28998,18948900
2017-07-12,158.30000,163.00000,156.56000,162.50999,160.85236,28630200
2017-07-13,163.00000,166.30000,158.75000,160.63000,158.99155,34228300
2017-07-14,161.28999,165.00999,161.00999,164.95000,163.26747,23548700
2017-07-17,166.33000,167.50000,161.75000,164.25000,162.57460,23269800
2017-07-18,161.78000,166.55000,161.30000,165.96001,164.26718,19416000
2017-07-19,166.33000,167.39999,164.61000,165.10001,163.41595,17176100
2017-07-20,165.92999,167.50999,163.91000,167.50000,165.79147,17489900
2017-07-21,166.67000,169.30000,166.09000,168.10001,166.38533,16208300
2017-07-24,168.39000,168.78000,165.72000,166.14999,164.45523,16313100
2017-07-25,165.22000,165.92999,163.58000,165.35001,163.66341,12413900
2017-07-26,167.67999,169.92999,165.85001,167.25999,165.55388,16010100
2017-07-27,168.27000,168.74001,157.56000,161.74001,160.09021,19571400
2017-07-28,160.28999,165.38000,159.28000,164.39000,162.71320,12833700
2017-07-31,164.94000,166.39999,160.62000,162.50999,160.85236,13991800
2017-08-01,162.13000,164.56000,161.00000,164.49001,162.81216,10784600
2017-08-02,165.75000,165.91000,161.27000,164.39000,162.71320,11961100
2017-08-03,164.37000,166.63000,163.67999,166.48000,164.78186,11060500
2017-08-04,167.39999,170.07001,166.48000,167.21001,165.50444,14727400
2017-08-07,168.39000,172.37000,168.00000,172.35001,170.59198,17935300
2017-08-08,173.89000,174.56000,168.71001,170.30000,168.56290,18883400
2017-08-09,168.42999,172.21001,167.67000,172.11000,170.35445,13269600
2017-08-10,172.16000,172.66000,164.33000,164.74001,163.05963,33202200
2017-08-11,157.14000,159.00000,152.91000,155.96001,154.36917,37429900
2017-08-14,159.67000,168.55000,159.20000,168.39999,166.68228,31975500
2017-08-15,168.61000,169.67000,165.59000,166.98000,165.27675,19113300
2017-08-16,167.59000,168.53999,163.84000,165.14999,163.46542,14915800
2017-08-17,164.81000,165.50000,161.38000,161.47000,159.82297,13136100
2017-08-18,163.67000,164.36000,159.64000,161.50000,159.85268,15030100
2017-08-21,162.49001,162.95000,157.37000,159.14999,157.52661,15591800
2017-08-22,160.49001,162.78999,159.71001,162.55000,161.03360,11261400
2017-08-23,161.20000,166.25000,160.85001,165.80000,164.25330,14488000
2017-08-24,167.10001,167.28000,164.12000,165.19000,163.64899,11742500
